,mag,time,place,coordenates
0,1.3,1605312324992,"11 km ENE of Fox, Alaska",
1,1.2,1605312058460,"31 km SE of Mina, Nevada",
2,1.5,1605311851950,"42 km SE of Mina, Nevada",
3,1.1,1605311626580,"33 km SE of Mina, Nevada",
4,2.2,1605311509160,"35 km SE of Mina, Nevada",
5,1.08,1605311392030,"23km ESE of Little Lake, CA",
6,1.4,1605311147420,"40 km ESE of Mina, Nevada",
7,2,1605310511867,"15 km ENE of Susitna North, Alaska",
8,1.8,1605310316870,"28 km SSE of Mina, Nevada",
9,1.4,1605310199127,"1 km NNW of Funny River, Alaska",
10,1.6,1605310117460,"37 km SE of Mina, Nevada",
11,4.7,1605310019094,"40 km WSW of Illapel, Chile",
12,2.1,1605310006030,"34 km SE of Mina, Nevada",
